id,location name,lat,lon,experience,addresstype,police_station_nearby,is_crowdy,crime_records_severe,safety_level
68,Fashion Street,51.51843792,-0.072872663,Scenic and tranquil,,FALSE,TRUE,FALSE,1
69,Tathawade Park,18.49330855,73.82731827,Great for shopping,,FALSE,TRUE,FALSE,4
70,Shaniwar Wada,18.51938255,73.85535656,Rich historical significance,,TRUE,FALSE,FALSE,4
71,Empress Garden,49.1492362,-123.1361026,Well-connected,,FALSE,FALSE,FALSE,1
72,Laxmi Road,18.51566982,73.86994118,Family-friendly,,TRUE,TRUE,TRUE,5
73,Osho Ashram,18.5369163,73.88860148,Great for shopping,,FALSE,TRUE,TRUE,3
74,Hong Kong Lane,53.4614615,-1.465858428,Beautiful garden with a serene atmosphere,,TRUE,FALSE,FALSE,3
75,Pune Okayama Friendship Garden,18.4910844,73.8381503,Great for shopping,,FALSE,FALSE,TRUE,3
76,Mulshi Lake and Dam,18.530325,73.51121,Well-connected,,TRUE,FALSE,FALSE,3
77,Raja Dinkar Kelkar Museum,18.51076695,73.85444202,Rich historical significance,,FALSE,TRUE,TRUE,1
78,Vishrambaug Wada,18.5138486,73.8534275,Scenic and tranquil,,TRUE,TRUE,TRUE,1
79,Raja Dinkar Kelkar Museum,18.51076695,73.85444202,Family-friendly,,TRUE,FALSE,TRUE,4
80,Baner Pashan Biodiversity Park,18.547779,73.783333,Family-friendly,,TRUE,TRUE,FALSE,4
81,Rajiv Gandhi Zoological Park,18.452488,73.860802,Developing area,,TRUE,FALSE,TRUE,1
82,Laxmi Road,18.51566982,73.86994118,Well-connected,,FALSE,FALSE,TRUE,3
83,Saras Baug,19.0442668,72.91493416,Rich historical significance,,TRUE,TRUE,TRUE,5
84,Vishrambaug Wada,18.5138486,73.8534275,Rich historical significance,,TRUE,FALSE,FALSE,5
85,Mahatma Phule Mandai,18.5129178,73.85629517,Well-connected,,TRUE,TRUE,FALSE,5
86,Chaturshringi Temple,18.533342,73.829956,Great for shopping,,TRUE,TRUE,FALSE,3
87,Empress Garden,49.1492362,-123.1361026,Well-connected,,FALSE,TRUE,FALSE,5
88,Rajiv Gandhi Zoological Park,18.452488,73.860802,Rich historical significance,,TRUE,FALSE,FALSE,4
89,Kamala Nehru Park,18.95502,72.80506346,Busy and bustling,,FALSE,TRUE,TRUE,5
90,Fashion Street,51.51843792,-0.072872663,Rich historical significance,,FALSE,FALSE,FALSE,5
91,Shaniwar Wada,18.51938255,73.85535656,Developing area,,TRUE,FALSE,TRUE,1
92,Laxmi Road,18.51566982,73.86994118,Scenic and tranquil,,TRUE,FALSE,TRUE,5
93,Lal Mahal,26.9925078,77.5890115,Great for shopping,,TRUE,TRUE,FALSE,1
94,Fashion Street,51.51843792,-0.072872663,Scenic and tranquil,,TRUE,FALSE,TRUE,5
95,Sinhagad Fort,18.36472045,73.75751103,Family-friendly,,TRUE,FALSE,TRUE,3
96,Katraj Snake Park,18.4529964,73.86122764,Amazing variety of animals,,FALSE,TRUE,FALSE,3
97,Tathawade Park,18.49330855,73.82731827,Family-friendly,,FALSE,FALSE,TRUE,1
98,Sinhagad Fort,18.36472045,73.75751103,Busy and bustling,,TRUE,TRUE,FALSE,3
99,Vishrambaug Wada,18.5138486,73.8534275,Great for shopping,,TRUE,FALSE,TRUE,5
100,Saras Baug,19.0442668,72.91493416,Family-friendly,,FALSE,TRUE,TRUE,3
101,Aga Khan Palace,18.55232925,73.90147848,Well-connected,,FALSE,TRUE,TRUE,4
102,Lal Mahal,26.9925078,77.5890115,Beautiful garden with a serene atmosphere,,TRUE,FALSE,FALSE,2
103,Shinde Chhatri,18.491631,73.89727,Amazing variety of animals,,TRUE,TRUE,TRUE,1
104,Hong Kong Lane,53.4614615,-1.465858428,Amazing variety of animals,,TRUE,TRUE,TRUE,1
105,Sambhaji Park,18.5206664,73.8472146,Well-connected,,FALSE,FALSE,FALSE,5
106,Katraj Snake Park,18.4529964,73.86122764,Great for shopping,,FALSE,TRUE,TRUE,5
107,Mahatma Phule Mandai,18.5129178,73.85629517,Great for shopping,,TRUE,FALSE,TRUE,3
108,Katraj Snake Park,18.4529964,73.86122764,Very spiritual and peaceful,,FALSE,TRUE,FALSE,4
109,Peshwe Udyan Zoo,18.503622,73.851932,Family-friendly,,TRUE,FALSE,TRUE,5
110,Katraj Snake Park,18.4529964,73.86122764,Amazing variety of animals,,TRUE,FALSE,TRUE,2
111,Katraj Snake Park,18.4529964,73.86122764,Busy and bustling,,FALSE,FALSE,FALSE,1
112,Pataleshwar Cave Temple,18.5269463,73.8498456,Developing area,,TRUE,FALSE,TRUE,3
113,Pune Okayama Friendship Garden,18.4910844,73.8381503,Rich historical significance,,FALSE,TRUE,TRUE,1
114,Saras Baug,19.0442668,72.91493416,Busy and bustling,,FALSE,FALSE,TRUE,1
115,Vishrambaug Wada,18.5138486,73.8534275,Great for shopping,,FALSE,TRUE,TRUE,2
116,Osho Ashram,18.5369163,73.88860148,Developing area,,FALSE,TRUE,FALSE,4
117,Katraj Snake Park,18.4529964,73.86122764,Well-connected,,TRUE,TRUE,TRUE,1
118,Baner Pashan Biodiversity Park,18.547779,73.783333,Rich historical significance,,TRUE,FALSE,TRUE,2
119,Laxmi Road,18.51566982,73.86994118,Beautiful garden with a serene atmosphere,,TRUE,TRUE,TRUE,5
120,Vishrambaug Wada,18.5138486,73.8534275,Rich historical significance,,FALSE,FALSE,FALSE,4
121,Tathawade Park,18.49330855,73.82731827,Busy and bustling,,TRUE,FALSE,FALSE,2
122,Fashion Street,51.51843792,-0.072872663,Family-friendly,,TRUE,TRUE,TRUE,3
123,Sinhagad Fort,18.36472045,73.75751103,Family-friendly,,FALSE,FALSE,TRUE,3
124,Shaniwar Wada,18.51938255,73.85535656,Amazing variety of animals,,TRUE,FALSE,FALSE,4
125,Osho Ashram,18.5369163,73.88860148,Great for shopping,,FALSE,TRUE,TRUE,1
126,Chaturshringi Temple,18.533342,73.829956,Very spiritual and peaceful,,FALSE,TRUE,FALSE,2
127,Tulsi Baug,21.13907265,79.11063485,Great for shopping,,FALSE,TRUE,FALSE,5
128,Vishrambaug Wada,18.5138486,73.8534275,Beautiful garden with a serene atmosphere,,TRUE,TRUE,TRUE,3
129,Baner Pashan Biodiversity Park,18.547779,73.783333,Rich historical significance,,FALSE,FALSE,FALSE,5
130,Peshwa Udyan,18.503622,73.851932,Family-friendly,,FALSE,FALSE,FALSE,5
131,Laxmi Road,18.51566982,73.86994118,Rich historical significance,,FALSE,FALSE,FALSE,1
132,Laxmi Road,18.51566982,73.86994118,Great for shopping,,TRUE,TRUE,FALSE,2
133,Dagdusheth Halwai Ganpati Temple,18.516401,73.856041,Well-connected,,TRUE,TRUE,FALSE,1
134,Dagdusheth Halwai Ganpati Temple,18.516401,73.856041,Beautiful garden with a serene atmosphere,,TRUE,TRUE,TRUE,3
135,Bund Garden,18.5405933,73.8834394,Great for shopping,,FALSE,FALSE,TRUE,3
136,Parvati Hill Temple,18.497601,73.847099,Scenic and tranquil,,TRUE,TRUE,TRUE,4
137,Parvati Hill Temple,18.497601,73.847099,Great for shopping,,TRUE,TRUE,TRUE,5
138,Empress Garden,49.1492362,-123.1361026,Rich historical significance,,FALSE,TRUE,TRUE,2
139,Shunyo Park,18.536615,73.890137,Very spiritual and peaceful,,FALSE,FALSE,TRUE,4
140,Tathawade Park,18.49330855,73.82731827,Amazing variety of animals,,FALSE,FALSE,FALSE,2
141,Katraj Snake Park,18.4529964,73.86122764,Great for shopping,,FALSE,TRUE,FALSE,2
142,Tulsi Baug,21.13907265,79.11063485,Beautiful garden with a serene atmosphere,,TRUE,TRUE,FALSE,3
143,Shinde Chhatri,18.491631,73.89727,Very spiritual and peaceful,,TRUE,TRUE,FALSE,3
144,Mulshi Lake and Dam,18.530325,73.51121,Great for shopping,,FALSE,FALSE,TRUE,3
145,Raja Dinkar Kelkar Museum,18.51076695,73.85444202,Very spiritual and peaceful,,FALSE,FALSE,FALSE,1
146,Shaniwar Wada,18.51938255,73.85535656,Beautiful garden with a serene atmosphere,,FALSE,FALSE,TRUE,1
147,Katraj Snake Park,18.4529964,73.86122764,Great for shopping,,FALSE,TRUE,FALSE,4
148,Tulsi Baug,21.13907265,79.11063485,Well-connected,,TRUE,TRUE,FALSE,4
149,Osho Ashram,18.5369163,73.88860148,Beautiful garden with a serene atmosphere,,FALSE,FALSE,FALSE,4
150,Mahatma Phule Mandai,18.5129178,73.85629517,Scenic and tranquil,,FALSE,TRUE,FALSE,5
151,Mahatma Phule Mandai,18.5129178,73.85629517,Family-friendly,,TRUE,FALSE,TRUE,3
152,Saras Baug,19.0442668,72.91493416,Rich historical significance,,FALSE,TRUE,TRUE,5
153,Pataleshwar Cave Temple,18.5269463,73.8498456,Beautiful garden with a serene atmosphere,,TRUE,TRUE,FALSE,1
154,Bund Garden,18.5405933,73.8834394,Very spiritual and peaceful,,TRUE,TRUE,TRUE,5
155,Vishrambaug Wada,18.5138486,73.8534275,Family-friendly,,TRUE,TRUE,FALSE,3
156,Osho Ashram,18.5369163,73.88860148,Busy and bustling,,FALSE,TRUE,FALSE,5
157,Shinde Chhatri,18.491631,73.89727,Rich historical significance,,TRUE,TRUE,TRUE,1
158,Shunyo Park,18.536615,73.890137,Developing area,,TRUE,FALSE,FALSE,1
159,Parvati Hill Temple,18.497601,73.847099,Family-friendly,,TRUE,FALSE,FALSE,1
160,Parvati Hill Temple,18.497601,73.847099,Very spiritual and peaceful,,TRUE,FALSE,TRUE,4
161,Peshwa Udyan,18.503622,73.851932,Scenic and tranquil,,TRUE,TRUE,FALSE,1
162,Kamala Nehru Park,18.95502,72.80506346,Rich historical significance,,FALSE,TRUE,FALSE,5
163,Parvati Hill Temple,18.497601,73.847099,Developing area,,FALSE,TRUE,TRUE,4
164,Mahatma Phule Mandai,18.5129178,73.85629517,Beautiful garden with a serene atmosphere,,TRUE,TRUE,FALSE,3
165,Sambhaji Park,18.5206664,73.8472146,Amazing variety of animals,,TRUE,FALSE,TRUE,3
166,Peshwa Udyan,18.503622,73.851932,Scenic and tranquil,,TRUE,TRUE,FALSE,1
167,Vishrambaug Wada,18.5138486,73.8534275,Developing area,,FALSE,FALSE,FALSE,4
168,Baner Pashan Biodiversity Park,18.547779,73.783333,Beautiful garden with a serene atmosphere,,FALSE,TRUE,TRUE,1
169,Sinhagad Fort,18.36472045,73.75751103,Amazing variety of animals,,TRUE,TRUE,FALSE,4
170,Peshwa Udyan,18.503622,73.851932,Busy and bustling,,FALSE,TRUE,TRUE,4
171,Pataleshwar Cave Temple,18.5269463,73.8498456,Well-connected,,FALSE,TRUE,FALSE,4
172,Rajiv Gandhi Zoological Park,18.452488,73.860802,Developing area,,TRUE,FALSE,FALSE,4
173,Pataleshwar Cave Temple,18.5269463,73.8498456,Great for shopping,,FALSE,FALSE,FALSE,2
174,Mahatma Phule Mandai,18.5129178,73.85629517,Great for shopping,,FALSE,TRUE,FALSE,1
175,Peshwe Udyan Zoo,18.503622,73.851932,Beautiful garden with a serene atmosphere,,FALSE,TRUE,TRUE,1
176,Laxmi Road,18.51566982,73.86994118,Busy and bustling,,FALSE,TRUE,FALSE,2
177,Tathawade Park,18.49330855,73.82731827,Rich historical significance,,TRUE,TRUE,TRUE,2
178,Baner Pashan Biodiversity Park,18.547779,73.783333,Beautiful garden with a serene atmosphere,,FALSE,FALSE,TRUE,4
179,Mulshi Lake and Dam,18.530325,73.51121,Developing area,,TRUE,FALSE,FALSE,3
180,Empress Garden,49.1492362,-123.1361026,Busy and bustling,,TRUE,FALSE,FALSE,4
181,Dagdusheth Halwai Ganpati Temple,18.516401,73.856041,Great for shopping,,FALSE,FALSE,FALSE,2
182,Katraj Snake Park,18.4529964,73.86122764,Scenic and tranquil,,TRUE,TRUE,TRUE,1
183,Peshwa Udyan,18.503622,73.851932,Rich historical significance,,FALSE,FALSE,TRUE,5
184,Shunyo Park,18.536615,73.890137,Busy and bustling,,TRUE,TRUE,TRUE,1
185,Raja Dinkar Kelkar Museum,18.51076695,73.85444202,Great for shopping,,FALSE,TRUE,TRUE,3
186,Chaturshringi Temple,18.533342,73.829956,Beautiful garden with a serene atmosphere,,FALSE,TRUE,TRUE,1
187,Baner Pashan Biodiversity Park,18.547779,73.783333,Rich historical significance,,TRUE,TRUE,TRUE,5
188,Hong Kong Lane,53.4614615,-1.465858428,Well-connected,,TRUE,TRUE,TRUE,1
189,Mulshi Lake and Dam,18.530325,73.51121,Great for shopping,,FALSE,TRUE,FALSE,2
190,Sambhaji Park,18.5206664,73.8472146,Rich historical significance,,TRUE,TRUE,TRUE,1
191,Empress Garden,49.1492362,-123.1361026,Amazing variety of animals,,FALSE,FALSE,FALSE,3
192,Mahatma Phule Mandai,18.5129178,73.85629517,Family-friendly,,TRUE,FALSE,FALSE,5
193,Aga Khan Palace,18.55232925,73.90147848,Amazing variety of animals,,FALSE,FALSE,TRUE,4
194,Shinde Chhatri,18.491631,73.89727,Developing area,,FALSE,FALSE,TRUE,3
195,Parvati Hill Temple,18.497601,73.847099,Well-connected,,TRUE,TRUE,TRUE,5
196,Mulshi Lake and Dam,18.530325,73.51121,Scenic and tranquil,,TRUE,TRUE,FALSE,1
197,Shinde Chhatri,18.491631,73.89727,Rich historical significance,,TRUE,FALSE,FALSE,3
198,Sambhaji Park,18.5206664,73.8472146,Scenic and tranquil,,TRUE,TRUE,FALSE,5
199,Sinhagad Fort,18.36472045,73.75751103,Developing area,,TRUE,FALSE,TRUE,3
200,Sambhaji Park,18.5206664,73.8472146,Great for shopping,,FALSE,TRUE,FALSE,2
201,Tathawade Park,18.49330855,73.82731827,Great for shopping,,FALSE,FALSE,FALSE,3
202,Fashion Street,51.51843792,-0.072872663,Very spiritual and peaceful,,TRUE,FALSE,FALSE,4
203,Tathawade Park,18.49330855,73.82731827,Busy and bustling,,TRUE,TRUE,FALSE,4
204,Tathawade Park,18.49330855,73.82731827,Beautiful garden with a serene atmosphere,,FALSE,TRUE,FALSE,4
205,Peshwa Udyan,18.503622,73.851932,Beautiful garden with a serene atmosphere,,TRUE,TRUE,TRUE,5
206,Empress Garden,49.1492362,-123.1361026,Very spiritual and peaceful,,TRUE,TRUE,TRUE,4
207,Bund Garden,18.5405933,73.8834394,Scenic and tranquil,,FALSE,TRUE,TRUE,5
208,Rajiv Gandhi Zoological Park,18.452488,73.860802,Very spiritual and peaceful,,TRUE,TRUE,TRUE,3
209,Osho Ashram,18.5369163,73.88860148,Rich historical significance,,TRUE,TRUE,FALSE,3
210,Shunyo Park,18.536615,73.890137,Rich historical significance,,TRUE,TRUE,FALSE,3
211,Peshwa Udyan,18.503622,73.851932,Busy and bustling,,TRUE,TRUE,TRUE,1
212,Raja Dinkar Kelkar Museum,18.51076695,73.85444202,Scenic and tranquil,,FALSE,TRUE,TRUE,3
213,Kamala Nehru Park,18.95502,72.80506346,Great for shopping,,TRUE,TRUE,FALSE,2
214,Peshwe Udyan Zoo,18.503622,73.851932,Well-connected,,TRUE,FALSE,FALSE,4
215,Pataleshwar Cave Temple,18.5269463,73.8498456,Well-connected,,FALSE,FALSE,FALSE,3
216,Chaturshringi Temple,18.533342,73.829956,Amazing variety of animals,,FALSE,TRUE,FALSE,2
217,Rajiv Gandhi Zoological Park,18.452488,73.860802,Very spiritual and peaceful,,TRUE,FALSE,TRUE,5
218,Rajiv Gandhi Zoological Park,18.452488,73.860802,Scenic and tranquil,,FALSE,TRUE,TRUE,1
219,Tathawade Park,18.49330855,73.82731827,Amazing variety of animals,,FALSE,FALSE,TRUE,3
220,Saras Baug,19.0442668,72.91493416,Busy and bustling,,FALSE,FALSE,TRUE,5
221,Shaniwar Wada,18.51938255,73.85535656,Family-friendly,,FALSE,FALSE,FALSE,3
222,Tulsi Baug,21.13907265,79.11063485,Family-friendly,,TRUE,TRUE,FALSE,3
223,Mulshi Lake and Dam,18.530325,73.51121,Very spiritual and peaceful,,TRUE,TRUE,TRUE,2
224,Shunyo Park,18.536615,73.890137,Amazing variety of animals,,TRUE,FALSE,TRUE,2
225,Shunyo Park,18.536615,73.890137,Family-friendly,,FALSE,FALSE,TRUE,2
226,Tulsi Baug,21.13907265,79.11063485,Great for shopping,,FALSE,FALSE,TRUE,3
227,Peshwe Udyan Zoo,18.503622,73.851932,Well-connected,,TRUE,TRUE,FALSE,3
228,Mulshi Lake and Dam,18.530325,73.51121,Beautiful garden with a serene atmosphere,,FALSE,TRUE,FALSE,4
229,Parvati Hill Temple,18.497601,73.847099,Busy and bustling,,TRUE,TRUE,FALSE,1
230,Shinde Chhatri,18.491631,73.89727,Great for shopping,,FALSE,FALSE,FALSE,4
231,Dagdusheth Halwai Ganpati Temple,18.516401,73.856041,Great for shopping,,FALSE,FALSE,TRUE,5
232,Raja Dinkar Kelkar Museum,18.51076695,73.85444202,Developing area,,FALSE,TRUE,FALSE,1
233,Pune Okayama Friendship Garden,18.4910844,73.8381503,Great for shopping,,FALSE,FALSE,TRUE,4
234,Katraj Snake Park,18.4529964,73.86122764,Great for shopping,,FALSE,FALSE,FALSE,4
235,Tulsi Baug,21.13907265,79.11063485,Very spiritual and peaceful,,TRUE,FALSE,TRUE,3
236,Chaturshringi Temple,18.533342,73.829956,Busy and bustling,,FALSE,TRUE,FALSE,5
237,Sinhagad Fort,18.36472045,73.75751103,Rich historical significance,,FALSE,TRUE,FALSE,2
238,Raja Dinkar Kelkar Museum,18.51076695,73.85444202,Beautiful garden with a serene atmosphere,,FALSE,TRUE,TRUE,4
239,Rajiv Gandhi Zoological Park,18.452488,73.860802,Well-connected,,FALSE,FALSE,TRUE,2
240,Kamala Nehru Park,18.95502,72.80506346,Busy and bustling,,FALSE,FALSE,FALSE,1
241,Shaniwar Wada,18.51938255,73.85535656,Beautiful garden with a serene atmosphere,,FALSE,TRUE,TRUE,1
242,Kamala Nehru Park,18.95502,72.80506346,Scenic and tranquil,,TRUE,FALSE,TRUE,1
243,Mulshi Lake and Dam,18.530325,73.51121,Busy and bustling,,FALSE,FALSE,TRUE,2
244,Bund Garden,18.5405933,73.8834394,Very spiritual and peaceful,,TRUE,TRUE,FALSE,3
245,Fashion Street,51.51843792,-0.072872663,Very spiritual and peaceful,,TRUE,FALSE,FALSE,5
246,Kamala Nehru Park,18.95502,72.80506346,Well-connected,,FALSE,FALSE,FALSE,4
247,Raja Dinkar Kelkar Museum,18.51076695,73.85444202,Developing area,,TRUE,FALSE,FALSE,5
248,Dagdusheth Halwai Ganpati Temple,18.516401,73.856041,Very spiritual and peaceful,,TRUE,TRUE,FALSE,5
249,Mulshi Lake and Dam,18.530325,73.51121,Amazing variety of animals,,FALSE,TRUE,FALSE,2
250,Saras Baug,19.0442668,72.91493416,Busy and bustling,,FALSE,TRUE,TRUE,4
251,Raja Dinkar Kelkar Museum,18.51076695,73.85444202,Amazing variety of animals,,TRUE,TRUE,TRUE,1
252,Bund Garden,18.5405933,73.8834394,Developing area,,TRUE,FALSE,FALSE,1
253,Sambhaji Park,18.5206664,73.8472146,Scenic and tranquil,,FALSE,FALSE,TRUE,1
254,Pataleshwar Cave Temple,18.5269463,73.8498456,Very spiritual and peaceful,,TRUE,FALSE,TRUE,1
255,Pune Okayama Friendship Garden,18.4910844,73.8381503,Family-friendly,,TRUE,TRUE,TRUE,4
256,Hong Kong Lane,53.4614615,-1.465858428,Family-friendly,,FALSE,TRUE,FALSE,1
257,Aga Khan Palace,18.55232925,73.90147848,Amazing variety of animals,,FALSE,FALSE,FALSE,1
258,Lal Mahal,26.9925078,77.5890115,Amazing variety of animals,,TRUE,TRUE,TRUE,3
259,Aga Khan Palace,18.55232925,73.90147848,Busy and bustling,,FALSE,FALSE,TRUE,3
260,Aga Khan Palace,18.55232925,73.90147848,Beautiful garden with a serene atmosphere,,FALSE,FALSE,TRUE,1
261,Aga Khan Palace,18.55232925,73.90147848,Family-friendly,,FALSE,TRUE,TRUE,5
262,Bund Garden,18.5405933,73.8834394,Family-friendly,,TRUE,TRUE,FALSE,2
263,Kasba Ganpati Temple,18.5153055,73.8477706,Family-friendly,,FALSE,TRUE,TRUE,3
264,Sambhaji Park,18.5206664,73.8472146,Busy and bustling,,TRUE,FALSE,FALSE,4
265,Fashion Street,51.51843792,-0.072872663,Rich historical significance,,FALSE,FALSE,FALSE,1
266,Peshwa Udyan,18.503622,73.851932,Developing area,,TRUE,FALSE,TRUE,4
267,Osho Ashram,18.5369163,73.88860148,Beautiful garden with a serene atmosphere,,TRUE,FALSE,FALSE,2
268,Mulshi Lake and Dam,18.530325,73.51121,Busy and bustling,,TRUE,TRUE,FALSE,4
269,Shunyo Park,18.536615,73.890137,Beautiful garden with a serene atmosphere,,FALSE,FALSE,TRUE,3
270,Lal Mahal,26.9925078,77.5890115,Busy and bustling,,TRUE,TRUE,FALSE,3
271,Bund Garden,18.5405933,73.8834394,Family-friendly,,FALSE,FALSE,FALSE,5
